conversation_id,conversation_text,argument_objects,dropped_units
9154,193 M (2) And you did this favor for your good friend (2) what would you want from (.) Polly 194 T What do you mean by (.) You did this favor for your good friend 195 P [It was a FAVOR 196 M [You helped there your good friend (.) You are the:: ah (.) ah (.) caterer (2) if you were caterer instead of (.) Polly (.) and she was the banker () 197 P You dont think that was A FAVOR (.) from me 198 T (3) I think ah:: (1) I GAVE you the POSSIBILITY (.) to eh:: (.) to do a good job (.) that you you would get eh:: (.) a good payment for it thats not exactly what I call a favor [no 199 M [Ya (.) so (.) then (.) I may have misused (.) the word,"{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""And you did this favor for your good friend""}, {""reason"": ""Rhetorical Questioning"", ""id"": 1, ""text"": ""What do you mean by (.) You did this favor for your good friend""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""It was a FAVOR""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""You helped there your good friend""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""ah (.) ah (.) caterer""}, {""reason"": ""Assertive Questioning"", ""id"": 5, ""text"": ""if you were caterer instead of (.) Polly (.) and she was the banker""}, {""reason"": ""Assertive Questioning"", ""id"": 6, ""text"": ""You dont think that was A FAVOR (.) from me 198 T""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""1) I GAVE you the POSSIBILITY (.) to eh:: (.) to do a good job (.) that you you would get eh:: (.) a good payment for it""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""not exactly what I call a favor [no""}, {""reason"": ""Assertive Questioning"", ""id"": 9, ""text"": ""so (.) then (.) I may have misused (.) the word""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""attack""}, {""source_id"": 3, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 6, ""type"": ""attack""}, {""source_id"": 8, ""target_id"": 7, ""type"": ""support""}]}",0
2159,and Im prepared to go to the limit with it because I have more RIDING on this 174 M Neither of you is going to the [limit 175 P [But there are other students who want to stay in the 217 program with me so (.) I look at this [they would all suffer 176 M [You can have (.) You can have a relationship with them (.) based on their boundaries (.) it may be DIFFERENT from the relationship you have with Ann (.) based on her boundaries (.) thats perfectly okay (.) thats perfectly okay (.) to have different boundaries in different relationships with different people (1.5) but (.) to be able to respect and understand (.) that once we cross somebody elses boundaries (.) particularly in a power position 177 P Mmh 178 M that unfortunately it makes them (.) it discombobultates them (.) in many many ways (.) and my sense here (.) is that it is a boundary issue (2) I (.) I might let me be very very clear (.) beyond (.) the touching or putting the arm 179 A Mmh 180 M Theres theres has there been any other activity 181 A Eh: no no [I just 182 P [There you go you see there isnt= 183 A =Well I think because I put a STOP to it 184 P No because well [because if it were more to it 185 A [Well I made a complaint 186 M If there were more to it that would be a very different ball game we wouldnt be discussing the boundary issue= 187 P =She thinks there might have been more thats what shes saying but theres never been anything to suggest (.) that I dont think theres any more to [this 188 M [The question for you Philip is (.) the question for you is (.) can you reconstruct your relationship with Ann/ (.) around boundaries that are different/ 189 P That depends on what those boundaries are (.) I suppose 190 M Okay,"{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""because I have more RIDING on this""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Neither of you is going to the [limit""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""But there are other students who want to stay in the 217 program with me""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""they would all suffer""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""You can have a relationship with them (.) based on their boundaries""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""it may be DIFFERENT from the relationship you have with Ann (.) based on her boundaries""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""and my sense here (.) is that it is a boundary issue""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""There you go you see""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""Well I think because I put a STOP to it""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""made a complaint""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""If there were more to it that would be a very different ball game""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""we wouldnt be discussing the boundary issue""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""there might have been more""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""never been anything to suggest (.) that""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""I dont think theres any more to [this""}], ""relations"": [{""source_id"": 3, ""target_id"": 4, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""attack""}, {""source_id"": 10, ""target_id"": 8, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 14, ""target_id"": 12, ""type"": ""attack""}, {""source_id"": 14, ""target_id"": 13, ""type"": ""support""}]}",0
9243,"Nancy Butler: What I will do, and Ive always made this a rule of thumb, is I will not say something that I wouldnt say directly to you to others. Sean McNeil: Okay. Keep that in mind. You said you were in the bathroom crying because I hurt you, but you never told that to me, so I didnt know how you felt. Then, you brought it to the company and complained to them, so thats a situation where you wouldnt tell me to my face, but you told someone else.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""What I will do, and Ive always made this a rule of thumb, is I will not say something that I wouldnt say directly to you to others""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Keep that in mind""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""in the bathroom crying because I""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""but you never told that to me""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""so I didnt know how you felt""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""Then, you brought it to the company and complained to them""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""so thats a situation where you wouldnt tell me to my face""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""but you told someone else""}], ""relations"": [{""source_id"": 3, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 5, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 7, ""target_id"": 0, ""type"": ""attack""}]}",0
9230,"Melissa Myer: Is quitting a realistic option for you? Nancy Butler: No, its really not a realistic option. Not really. Melissa Myer: Okay, so worst-case scenario: you guys dont agree today and youre both gone. Best-case scenario: we figure out some way that youre able to work together, be productive and not undermine the integrity of the organisation somehow. Nancy Butler: Yes. Kelly Tansik: Im going to go ahead and skip ahead just a little bit because I want a better idea of It sounds like in a perfect world, your perfect solution was to get rid of Sean, but thats not going to happen, right? Nancy Butler: Right. Kelly Tansik: Can you just give us an idea, so we have a better understanding? Again, we wont share this with Sean unless you want, but what do you see as a possible solution? How could this work for you? Nancy Butler: Well, I would like to be considered for more overtime. What Sean says really isnt the absolute truth. There are some days where people are more productive than other days. You can prove just about anything with statistics, and hes twisted that around. Thats his argument for not letting me have access to overtime. I mean, that might help. The other thing that might help would be not to be singled out and be disrespected in front of the group at meetings. I cant accept that. It just doesnt feel good when people are They arent really laughing at me, except that he has focused the attention back on me. I do like to laugh, but not everything should be a joke. I need a little bit more space. I just feel like were in a small office. Im wondering if maybe things could be reorganised. Sometimes, if you put some space between oil and vinegar, it might not be so bad. Add a little Dijon mustard and Kelly Tansik: Okay. Yes, I remember you saying you liked the predictability, ABC, so it sounds like maybe things are a little disorganised and thats hard to manage at the office. Other concerns? Nancy Butler: Thats pretty much it in a nutshell. I mean, who knows why he was hired. I would like to believe that he was more qualified and that he was the best, but I look at my friend and I look at him and its really hard to put that Melissa Myer: Yes. Well, as you said, not having this job is really not a realistic option for you. Nancy Butler: Right. Melissa Myer: Really, I think the important thing, and Im going to guess Sean is going to say the same thing If he took this job, its probably something he needs, so him going without you going is probably not an option.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""so worst-case scenario: you guys dont agree today and youre both gone""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""we figure out some way that youre able to work together, be productive and not undermine the integrity of the organisation somehow""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""Well, I would like to be considered for more overtime""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""What Sean says really isnt the absolute truth""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""There are some days where people are more productive than other days""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""You can prove just about anything with statistics""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""and hes twisted that around""}, {""reason"": ""Asserting"", ""id"": 7, ""text"": ""I mean, that might help""}, {""reason"": ""Asserting"", ""id"": 8, ""text"": ""The other thing that might help would be not to be singled out and be disrespected in front of the group at meetings""}, {""reason"": ""Asserting"", ""id"": 9, ""text"": ""that. It just doesnt feel good when people are They arent really laughing at me, except that he has focused the attention back on""}, {""reason"": ""Asserting"", ""id"": 10, ""text"": ""I need a little bit more space""}, {""reason"": ""Asserting"", ""id"": 11, ""text"": ""I just feel like were in a small office""}, {""reason"": ""Asserting"", ""id"": 12, ""text"": ""wondering if maybe things could be reorganised""}, {""reason"": ""Asserting"", ""id"": 13, ""text"": ""Sometimes, if you put some space between oil and vinegar, it might not be so bad""}, {""reason"": ""Asserting"", ""id"": 14, ""text"": ""the predictability, ABC""}, {""reason"": ""Asserting"", ""id"": 15, ""text"": ""so it sounds like maybe things are a little disorganised""}, {""reason"": ""Asserting"", ""id"": 16, ""text"": ""and thats hard to manage at the office""}, {""reason"": ""Rhetorical Questioning"", ""id"": 17, ""text"": ""I mean, who knows why he was hired""}, {""reason"": ""Asserting"", ""id"": 18, ""text"": ""I would like to believe that he was more qualified and that he was the best""}, {""reason"": ""Asserting"", ""id"": 19, ""text"": ""but I look at my friend and I look at him and its really hard to put that""}, {""reason"": ""Asserting"", ""id"": 20, ""text"": ""not having this job is really not a realistic option for""}, {""reason"": ""Asserting"", ""id"": 21, ""text"": ""If he took this job, its probably something he needs""}, {""reason"": ""Asserting"", ""id"": 22, ""text"": ""so him going without you going is probably not an option""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 7, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 11, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 12, ""target_id"": 10, ""type"": ""support""}, {""source_id"": 13, ""target_id"": 12, ""type"": ""support""}, {""source_id"": 16, ""target_id"": 14, ""type"": ""support""}, {""source_id"": 16, ""target_id"": 15, ""type"": ""support""}, {""source_id"": 18, ""target_id"": 17, ""type"": ""support""}, {""source_id"": 19, ""target_id"": 17, ""type"": ""support""}, {""source_id"": 22, ""target_id"": 20, ""type"": ""support""}, {""source_id"": 22, ""target_id"": 21, ""type"": ""support""}]}",1
2034,"Mildred: What would you like out of today? Eric: Well, I would like Viv to become part, a productive member of the team. Because we are a team and, you know, Viv was appointed to be my equal. Ive no problem with that, but the thing is and my time is coming to a close, so to speak and we do need continuity in succession and things like that. But the bottom line is, instead of helping me, its hindering me, its making my life more difficult in terms of my workload and thats contrary to what the whole business was about. Today I would like to reach some professional agreement with Viv that we would work together productively and that she wouldnt upset the team so much. Im certain she has been doing that, I think, anyway. And thats all I want to say at this point.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""Well, I would like Viv to become part, a productive member of the team""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Because we are a team""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""and, you know, Viv was appointed to be my equal""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""no problem with that""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""but the thing is and my time is coming to a close, so to speak""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""and we do need continuity in succession and things like that""}], ""relations"": [{""source_id"": 5, ""target_id"": 4, ""type"": ""support""}, {""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 0, ""type"": ""support""}]}",0
4540,". But again, I dont know whether Viv could handle that she has the ability. Viv: Well come on, you employed me, surely you thought I had the ability to, you know. But Eric: Well I did, so there is a way forward then. But I can also check on how shes doing the project and if shes succeeding with it and that will give me a milestone, an indicator of her. Viv: I would quite like to just maybe take time out to look at what my job description was, actually, and from that, given what weve been talking about, it might signal up to me the key points that I want to clarify with you and see what your opinion is. Whether Ive read it, whether its been hieroglyphics to me, or whether Ive got it right. George: Its quite possible and again, its our experience in this sort of situation, its all about expectations and where your expectations and Vivs expectations match, you have happiness and a smooth life and everything works well. Where they dont, there is conflict, there is uncertainty, there is confusion and those are the sorts of things that contribute to having this sort of discussion.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""But again, I dont know whether Viv could handle that she has the ability""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Well come on, you employed me""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""surely you thought I had the ability""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""so there is a way forward then""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""But I can also check on how shes doing the project and if shes succeeding with it""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""and that will give me a milestone, an indicator of her""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""I would quite like to just maybe take time out to look at what my job description was, actually""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 3, ""target_id"": 2, ""type"": ""attack""}, {""source_id"": 4, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}",0
17785,"P { margin-bottom: 0.08in } Kelly Tansik: what do you see as a possible solution? How could this work for you? Nancy Butler: Well, I would like to be considered for more overtime. What Sean says really isnt the absolute truth. There are some days where people are more productive than other days. You can prove just about anything with statistics, and hes twisted that around. Thats his argument for not letting me have access to overtime. I mean, that might help.","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""I would like to be considered for more overtime""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""What Sean says really isnt the absolute truth""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""There are some days where people are more productive than other days""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""You can prove just about anything with statistics""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""twisted that around""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""his argument for not letting me have access to overtime""}, {""reason"": ""Asserting"", ""id"": 6, ""text"": ""I mean, that might help""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 1, ""type"": ""support""}]}",0
9110,"016 H: So what youre saying is that she can only see the friends that you have and not the friends that I have? 017 W: I didnt say she couldnt visit. I dont like you dropping her off and taking and, leaving her there, thats not visitation. If I had it I wish Id brought that paper now cause youre the one that went to uh Mr. Anders a[nd set it ] up. 018 H: [Andrews] 019 M: The visitation in effect says that uh visitation is meant to uh ( ) the parent to spend as much time with the child as possible. Thats the [uh clause th]at youre [referring to]. Uh hum. 020 W: [Thats right ] [Thats yes] 023 M: Its the basic uh [( )] Its kinda the the normal visitation order right?= [((cough))] 024 H: =yes= 025 W: =Uhhun. 026 H: The general type form 027 M: It says in brief regarding all visitation periods. Visitation periods are for the purpose for the (non-custodial) parents spending time with the children. Uh thats what youre re[ferring to] Im sure. 028 W: [ Yes ] 029 M: At the same time though I I can see what youre also saying too Ben that uh, I think you you you resent Gerry quote unquote dictating to you what you should do on your visitation. I think this is what Im hearing coming from you. And I dont think that from Gerry ih ih if uh I dont think thats not your intent Gerry to dictate to [Ben ( )]= 030 W: [No ( )] 031 M: =whether he should or should not be able to do in his visitation. But you are relating what Annie said at times or expresses to you about visitation= 032 W: =Yes=","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""I didnt say she couldnt visit. I dont like you dropping her off and taking and, leaving her there""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""not visitation""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""uh visitation is meant to uh ( ) the parent to spend as much time with the child as possible""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""dictating to you what you should do on your visitation. I""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""And I dont think that from Gerry ih ih if uh I dont think thats not your intent Gerry to dictate to [Ben ( )]= 030 W: [No ( )] 031 M: =whether he should or should not be able to do in his visitation""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""But you are relating what Annie said at times or expresses to you about visitation""}], ""relations"": [{""source_id"": 1, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""attack""}, {""source_id"": 5, ""target_id"": 4, ""type"": ""support""}]}",0
17191,"P { margin-bottom: 0.08in } ALICE: Shes more open... Mediator: Right so you would agree with that? Lauren: Yeah. Mediator: At that time? ALICE: Yeah she was quite introverted, she followed orders, she never said no, I mean she was like a puppy... Lauren: Aye that was a big breakthrough","{""argument_units"": [{""reason"": ""Asserting"", ""id"": 0, ""text"": ""more open""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""Yeah she was quite introverted""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""she followed orders""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""she never said no""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""I mean she was like a puppy""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""Aye that was a big breakthrough""}], ""relations"": [{""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 0, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 2, ""type"": ""support""}, {""source_id"": 5, ""target_id"": 3, ""type"": ""support""}]}",0
10872,"Melissa Myer: Okay, so when Sean makes these jokes, you feel like youre being attacked in those jokes? b. Nancy Butler: I do. Melissa Myer: Okay, and feeling that way is valid because youre the one that feels that way. Sean, do you want to add anything to your summary? d. Sean McNeil: Shes not the centre of the universe. I have 45 people in my department and shes the only person thats a thorn in my backside. Melissa Myer: Sean, I heard Nancy say that she feels like you attack her with your jokes, and when you say that shes not the centre of the universe, it sounds like maybe you dont intend to target those jokes towards her. Sean McNeil: I make jokes towards myself.","{""argument_units"": [{""reason"": ""Assertive Questioning"", ""id"": 0, ""text"": ""when Sean makes these jokes, you feel like youre being attacked in those""}, {""reason"": ""Asserting"", ""id"": 1, ""text"": ""and feeling that way is valid""}, {""reason"": ""Asserting"", ""id"": 2, ""text"": ""the one that feels that way""}, {""reason"": ""Asserting"", ""id"": 3, ""text"": ""not the centre of the universe""}, {""reason"": ""Asserting"", ""id"": 4, ""text"": ""I have 45 people in my department""}, {""reason"": ""Asserting"", ""id"": 5, ""text"": ""like you attack her with your jokes""}, {""reason"": ""Assertive Questioning"", ""id"": 6, ""text"": ""it sounds like maybe you dont intend to target those jokes towards her""}], ""relations"": [{""source_id"": 2, ""target_id"": 1, ""type"": ""support""}, {""source_id"": 3, ""target_id"": 0, ""type"": ""attack""}, {""source_id"": 4, ""target_id"": 3, ""type"": ""support""}, {""source_id"": 6, ""target_id"": 5, ""type"": ""attack""}]}",0
